City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,egvekinot,66.3167,-179.1667,-12.1,84,38,4.63,RU,1668882621
353,comodoro rivadavia,-45.8667,-67.5,67.86,28,0,20.71,AR,1668882546
354,marrakesh,31.6315,-8.0083,66.27,37,0,9.22,MA,1668882622
355,eureka,40.8021,-124.1637,56.01,88,29,1.01,US,1668882623
356,bara,10.3744,10.7288,80.35,26,0,7.25,NG,1668882624
357,ihosy,-22.4,46.1167,76.75,52,22,7.83,MG,1668882625
358,marzuq,14.4,46.4667,66.96,58,6,1.66,YE,1668882625
359,ziro,27.6333,93.8333,40.33,65,30,2.51,IN,1668882626
360,palmer,42.1584,-72.3287,42.62,44,20,11.5,US,1668882594
361,ewo,-0.8725,14.8206,76.57,79,100,1.66,CG,1668882628
362,rosarito,32.3333,-117.0333,73.42,23,0,5.61,MX,1668882628
363,goderich,43.7501,-81.7165,30.9,64,100,21.85,CA,1668882629
364,lewistown,40.5992,-77.5714,36.16,70,0,11.5,US,1668882629
